id,timeAtServer,aircraft,latitude,longitude,baroAltitude,geoAltitude,numMeasurements,measurements
29499,54.11400008,1023,51.75091242,4.886474609,11285.22,11376.66,4,"[[322,55098670515,124],[436,55098773203,103],[394,55098951640,84],[13,55098827921,57]]"
123967,227.786,354,51.65492249,4.721003352,11582.4,11681.46,4,"[[436,228762068734,73],[322,228761924312,121],[394,228762252906,81],[13,228762067578,91]]"
123009,225.997,354,51.65436308,4.726715088,11582.4,11681.46,4,"[[322,226981821359,127],[436,226981963328,102],[394,226982147531,79],[13,226981963296,88]]"
16870,30.94900012,1023,51.71232062,4.831314087,11285.22,11376.66,5,"[[436,31919139484,133],[394,31919320515,81],[115,31919510046,45],[322,31919024171,114],[13,31919174781,51]]"
181548,334.8170002,354,51.68657723,4.395446777,11582.4,11673.84,5,"[[436,335793344828,106],[322,335793061296,132],[394,335793530265,42],[115,335793716750,44],[13,335793288640,81]]"
27883,51.22500014,1023,51.74606323,4.87956279,11285.22,11376.66,4,"[[436,52213726515,96],[394,52213905187,92],[322,52213622078,140],[13,52213778765,33]]"
46781,85.19300008,175,50.89700473,5.397949219,10972.8,11155.68,5,"[[322,86170265109,105],[436,86170014750,101],[115,86170270781,83],[394,86170139156,79],[13,86169981515,103]]"
169431,312.7880001000001,354,51.68005992,4.462738037,11582.4,11673.84,4,"[[322,313772972281,133],[436,313773228281,99],[394,313773413500,60],[13,313773182062,64]]"
170005,313.8670001000001,354,51.68041992,4.459409971,11582.4,11673.84,5,"[[436,314853190156,111],[115,314853562000,58],[322,314852932765,121],[394,314853375390,62],[13,314853143437,82]]"
121646,223.5040002,354,51.65359497,4.734439334,11582.4,11681.46,5,"[[436,224492133421,104],[322,224491994750,66],[115,224492505031,58],[394,224492317640,74],[13,224492134828,85]]"
115008,211.517,354,51.65002441,4.770590292,11582.4,11681.46,4,"[[436,212501713562,43],[322,212501590875,50],[394,212501897515,69],[13,212501722171,94]]"
234422,431.3700001,2075,51.34030151,4.259429107,11277.6,11422.38,4,"[[436,432359793015,94],[322,432359599937,77],[394,432359978328,56],[13,432359618015,115]]"
109286,200.957,354,51.6469574,4.802064638,11582.4,11681.46,4,"[[436,201931721812,84],[322,201931613187,110],[394,201931905546,81],[13,201931737046,93]]"
168436,310.9580002,354,51.67955017,4.468020877,11582.4,11673.84,4,"[[436,311943022046,112],[394,311943207281,58],[322,311942768343,103],[13,311942976703,70]]"
37507,68.59700012,354,51.58547974,5.2002448,11590.02,11696.7,4,"[[436,69579890437,98],[322,69579965312,76],[394,69580071500,61],[13,69579998437,57]]"
21679,39.73699999,953,51.6043396,5.345665184,11887.2,12039.6,4,"[[436,40713711296,76],[394,40713887359,91],[322,40713839375,99],[13,40713864453,62]]"
21680,39.73699999,953,51.6043396,5.345665184,11887.2,12031.98,4,"[[436,40713711296,76],[394,40713887359,91],[322,40713839375,99],[13,40713864453,62]]"
21216,38.89600015,354,51.56954491,5.28968811,11582.4,11689.08,5,"[[436,39869696406,94],[322,39869812906,101],[394,39869876484,84],[115,39870065203,61],[13,39869828687,51]]"
249936,459.3040001,646,50.62518621,5.785044077,11277.6,11460.48,5,"[[322,460284176390,55],[436,460283855359,87],[394,460283899406,89],[115,460283974531,63],[13,460283861578,50]]"
249937,459.3040001,646,50.62518621,5.785044077,11277.6,11468.1,5,"[[322,460284176390,55],[436,460283855359,87],[394,460283899406,89],[115,460283974531,63],[13,460283861578,50]]"
55161,100.22,354,51.60232544,5.105227909,11597.64,11704.32,4,"[[322,101200533015,97],[436,101200502656,114],[394,101200684531,70],[13,101200586296,69]]"
187069,344.862,354,51.68946347,4.364776611,11590.02,11681.46,4,"[[436,345842908781,71],[322,345842612968,110],[394,345843094375,45],[13,345842848156,90]]"
199315,367.348,354,51.69612122,4.295357369,11597.64,11689.08,4,"[[322,368333123765,122],[394,368333631421,42],[436,368333445687,107],[13,368333375859,51]]"
15167,27.90400004,1023,51.70715332,4.823989868,11285.22,11376.66,5,"[[322,28873235859,117],[436,28873352671,125],[394,28873534031,71],[115,28873723453,50],[13,28873385437,58]]"
26284,48.24600005,175,50.87689416,5.511016846,10988.04,11178.54,4,"[[322,49229751765,88],[436,49229471296,114],[394,49229582078,102],[13,49229471000,71]]"
48336,87.96800017,1023,51.80733374,4.96711731,11285.22,11376.66,4,"[[322,88944518187,100],[436,88944602281,69],[394,88944775781,22],[13,88944683484,56]]"
18626,34.16400003,354,51.56703186,5.303724133999999,11582.4,11689.08,4,"[[436,35129768640,78],[322,35129891781,103],[394,35129948546,83],[13,35129904921,71]]"
8052,14.75100017,354,51.55664994,5.362014771,11582.4,11689.08,4,"[[436,15739227765,85],[322,15739377765,62],[394,15739406828,63],[13,15739380515,53]]"
130869,240.694,354,51.65881348,4.682180044,11582.4,11681.46,4,"[[436,241681678609,61],[322,241681516968,133],[394,241681863062,69],[13,241681670031,85]]"
